Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","VBUS","TestPoint-0.75mm",8.599264,17.699264,0.000000,bottom
"TP2","VBUS_LED_1","TestPoint-0.75mm",6.999264,17.702208,0.000000,bottom
"TP3","R232","TestPoint-0.75mm",16.000000,13.174000,180.000000,bottom
"TP4","CTS","TestPoint-0.75mm",16.000000,5.554000,180.000000,bottom
"TP5","DSR","TestPoint-0.75mm",16.000000,6.824000,180.000000,bottom
"TP6","RI","TestPoint-0.75mm",16.000000,8.094000,180.000000,bottom
"TP7","DCD","TestPoint-0.75mm",16.000000,9.364000,180.000000,bottom
"TP8","DTR","TestPoint-0.75mm",16.000000,10.634000,180.000000,bottom
"TP9","RTS","TestPoint-0.75mm",16.000000,11.904000,180.000000,bottom
"TP10","ESP_VDD_O","TestPoint-0.75mm",33.859264,13.262208,0.000000,bottom
"TP11","ESP_PWR_1","TestPoint-0.75mm",32.259264,13.262208,0.000000,bottom
"C1","0.1uF","C_0402_1005Metric",8.915000,13.174000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",12.675000,16.005000,180.000000,top
"C3","4.7uF","C_0402_1005Metric",16.665000,2.424000,90.000000,top
"C4","470pF","C_0402_1005Metric",22.695000,1.944000,0.000000,top
"C5","2.2uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",19.310000,5.725000,180.000000,top
"C6","4.7uF","C_0402_1005Metric",22.245000,3.384000,-90.000000,top
"D1","VBUS_LED","LED_0603_1608Metric",7.805000,17.705000,0.000000,top
"D2","SP0503BAHT","SOT-143",9.475000,2.705000,90.000000,top
"D3","ESP_PWR","LED_0603_1608Metric",33.115000,12.859000,0.000000,top
"FD1","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",36.200000,14.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4110",2.875000,10.000000,-90.000000,top
"J3","ESP_CONN","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",40.897000,10.000000,90.000000,top
"J5","ESP_PROG","PinHeader_2x03_P1.27mm_Vertical",25.659000,11.448000,180.000000,top
"Q1","BC817","SOT-23",20.565000,13.104000,0.000000,top
"Q2","BC817","SOT-23",20.575000,8.793000,0.000000,top
"R1","220R","R_0402_1005Metric",5.135000,17.655000,0.000000,top
"R2","5.1K","R_0402_1005Metric",8.475000,15.585000,90.000000,top
"R3","10K","R_0402_1005Metric",20.745000,18.085000,90.000000,top
"R4","10K","R_0402_1005Metric",26.385000,18.085000,90.000000,top
"R5","5.1K","R_0402_1005Metric",6.725000,2.135000,-90.000000,top
"R6","10K","R_0402_1005Metric",18.005000,13.574000,-90.000000,top
"R7","220R","R_0402_1005Metric",16.195000,3.844000,180.000000,top
"R8","DNP","R_0402_1005Metric",8.935000,11.904000,180.000000,top
"R9","10K","R_0402_1005Metric",18.005000,9.263000,90.000000,top
"R10","10K","R_0402_1005Metric",27.805000,6.789001,90.000000,top
"R11","220R","R_0402_1005Metric",25.155001,3.870000,180.000000,top
"R12","10K","R_0402_1005Metric",25.155000,8.585000,0.000000,top
"R13","220R","R_0402_1005Metric",30.015000,12.879000,0.000000,top
"SW1","ESP_RST","CK_SW_SPST_UK-B0273-SP25Y",40.024000,18.040000,180.000000,top
"SW2","ESP_BOOT","CK_SW_SPST_UK-B0273-SP25Y",40.024000,1.960000,180.000000,top
"SW3","ESP_VDD_SW","SW_SPDT_PCM12",31.699000,17.875000,180.000000,top
"SW4","ESPV_SEL","SW_SPDT_PCM12",31.699000,2.111792,0.000000,top
"SW5","POW_CTRL","CK_SW_SPST_UK-B0273-SP25Y",16.790000,18.150000,180.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",13.525000,9.999000,0.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",19.485000,2.894000,0.000000,top
"U3","AP22804AW5","SOT-23-5",25.035000,6.319000,0.000000,top
"Y1","12MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",13.030000,3.040000,180.000000,top
